id;ra_aluno;nome_aluno;periodo;curso
1;18485;Facilitator;77513;Engenharia_Controle_Automacao
2;59789;National Awesome sky blue;4522;Engenharia_Controle_Automacao
3;82873;compelling mission-critical;54269;Engenharia_Eletronica
4;80219;Small;98688;Engenharia_Controle_Automacao
5;552;overriding;70685;Engenharia_Computacao
6;11586;IB Investment Account archive;6355;Engenharia_Controle_Automacao
7;72960;withdrawal COM;47221;Engenharia_Computacao
8;76078;Idaho compress Avon;52273;Engenharia_Eletronica
9;3142;withdrawal knowledge base Buckinghamshire;90756;Engenharia_Eletrica
10;41038;override User-centric;7697;Engenharia_Eletrica
