id;ra_aluno;nome_aluno;periodo;curso
1;33761;Directives;32320;Engenharia_Computacao
2;70301;robust Engineer;96244;Engenharia_Controle_Automacao
3;49724;capability zero tolerance Computers;60956;Engenharia_Mecanica
4;23956;Granite Berkshire Designer;24205;Engenharia_Mecanica
5;23763;transmitter;36778;Engenharia_Computacao
6;53577;Licensed hacking installation;18651;Engenharia_Eletrica
7;51209;Future-proofed deposit Sausages;69093;Engenharia_Software
8;13752;bricks-and-clicks Concrete Global;87733;Engenharia_Mecanica
9;55520;Equatorial Guinea Vision-oriented;9310;Engenharia_Computacao
10;33902;cross-media;72595;Engenharia_Computacao
